     y         <u>         <v>          <w>       <u^2>       <v^2>       <w^2> 
    1.659185    0.677282    0.000000    0.002490    0.463290    0.001359    0.002118
    1.674331    0.671850    0.000000    0.002261    0.456178    0.001370    0.002173
    1.688718    0.666426    0.000000    0.002103    0.449140    0.001378    0.002226
    1.702402    0.661019    0.000000    0.002020    0.442183    0.001382    0.002276
    1.715438    0.655620    0.000000    0.002008    0.435297    0.001384    0.002319
    1.727876    0.650212    0.000000    0.002060    0.428458    0.001383    0.002354
    1.739760    0.644774    0.000000    0.002166    0.421642    0.001377    0.002380
    1.751132    0.639286    0.000000    0.002319    0.414826    0.001368    0.002395
    1.762031    0.633735    0.000000    0.002513    0.407996    0.001353    0.002400
    1.772492    0.628104    0.000000    0.002740    0.401137    0.001335    0.002400
    1.782548    0.622372    0.000000    0.002990    0.394225    0.001312    0.002396
    1.792228    0.616509    0.000000    0.003247    0.387229    0.001285    0.002390
    1.801560    0.610482    0.000000    0.003497    0.380114    0.001254    0.002384
    1.810569    0.604256    0.000000    0.003728    0.372847    0.001220    0.002378
    1.819278    0.597798    0.000000    0.003929    0.365396    0.001182    0.002371
    1.827709    0.591073    0.000000    0.004092    0.357729    0.001141    0.002364
    1.835882    0.584046    0.000000    0.004213    0.349815    0.001097    0.002357
    1.843816    0.576675    0.000000    0.004290    0.341618    0.001050    0.002349
    1.851528    0.568914    0.000000    0.004321    0.333096    0.001000    0.002341
    1.859033    0.560707    0.000000    0.004302    0.324199    0.000948    0.002332
    1.866346    0.551986    0.000000    0.004233    0.314870    0.000894    0.002319
    1.873482    0.542677    0.000000    0.004113    0.305048    0.000837    0.002302
    1.880453    0.532691    0.000000    0.003943    0.294666    0.000779    0.002279
    1.887272    0.521929    0.000000    0.003725    0.283655    0.000720    0.002250
    1.893949    0.510279    0.000000    0.003464    0.271944    0.000659    0.002213
    1.900496    0.497618    0.000000    0.003166    0.259464    0.000598    0.002168
    1.906923    0.483810    0.000000    0.002837    0.246150    0.000537    0.002113
    1.913239    0.468705    0.000000    0.002486    0.231943    0.000476    0.002048
    1.919453    0.452140    0.000000    0.002121    0.216792    0.000416    0.001973
    1.925574    0.433932    0.000000    0.001756    0.200663    0.000358    0.001887
    1.931610    0.413886    0.000000    0.001402    0.183545    0.000303    0.001791
    1.937569    0.391796    0.000000    0.001074    0.165463    0.000250    0.001684
    1.943458    0.367454    0.000000    0.000781    0.146503    0.000201    0.001566
    1.949285    0.340672    0.000000    0.000535    0.126828    0.000157    0.001438
    1.955056    0.311303    0.000000    0.000339    0.106711    0.000117    0.001299
    1.960779    0.279272    0.000000    0.000195    0.086558    0.000083    0.001149
    1.966459    0.244614    0.000000    0.000097    0.066924    0.000055    0.000986
    1.972104    0.207508    0.000000    0.000036    0.048504    0.000033    0.000810
    1.977718    0.168288    0.000000    0.000004    0.032089    0.000017    0.000623
    1.983309    0.127429    0.000000   -0.000011    0.018472    0.000007    0.000427
    1.988883    0.085469    0.000000   -0.000013    0.008326    0.000002    0.000234
    1.994444    0.042891    0.000000   -0.000009    0.002098    0.000000    0.000073
    2.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
